3909,216
216,216
797,265
265,265
24,2963
2963,2963
85,1781
1781,1781
246,1784
1784,1784
198,954
1237,954
2041,954
2685,954
97,954
3415,954
2012,954
89,954
1430,954
2887,954
3475,954
208,954
73,954
3358,954
3712,954
1408,954
3407,954
3883,954
1646,954
2424,954
1459,954
1673,954
2993,954
50,954
954,954
1137,227
227,227
235,3410
3410,3410
285,2189
2189,2189
30,3418
3418,3418
3894,23
23,23
104,2529
2529,2529
2203,222
222,222
0,0
134,401
401,401
665,401
128,281
281,281
1276,280
280,280
499,282
282,282
234,994
994,994
257,674
674,674
270,2707
1280,2707
2707,2707
144,3171
3171,3171
193,123
3028,123
527,123
2767,123
446,123
3126,123
145,123
4030,123
824,123
87,123
1228,123
2763,123
123,123
923,123
65,123
3165,123
2422,123
1675,123
1840,123
3983,123
261,123
756,123
1560,123
146,3133
3133,3133
1548,219
219,219
2045,91
91,91
3442,59
74,59
1764,59
1266,59
132,59
3611,59
2329,59
59,59
539,59
221,59
147,3039
3039,3039
3644,55
55,55
125,1827
1827,1827
2302,53
53,53
424,52
52,52
88,2257
2257,2257
26,418
418,418
199,2873
2873,2873
426,195
195,195
31,3169
3169,3169
324,115
115,115
66,114
2360,114
1413,114
114,114
2975,114
616,117
117,117
3550,397
3256,397
275,397
521,397
2389,397
908,397
1909,397
3856,397
3850,397
1997,397
2225,397
2704,397
3702,397
2535,397
4034,397
1347,397
3560,397
705,397
397,397
1504,397
3521,397
3446,397
2335,397
2233,397
833,397
2664,397
786,397
2190,397
730,397
1215,397
2103,397
3862,397
3531,397
873,397
1770,397
284,397
3563,397
2648,397
2600,397
1732,397
1033,397
1169,397
129,2803
2803,2803
192,1488
1488,1488
932,118
118,118
209,1253
1253,1253
3450,7
2347,7
689,7
7,7
200,7
135,7
2556,7
1335,1335
264,1335
139,2933
2933,2933
143,4115
4115,4115
86,387
387,387
2171,387
3928,248
248,248
3386,105
105,105
37,1433
181,1433
1433,1433
389,1433
51,1433
33,33
4192,33
3999,35
710,35
103,35
35,35
141,35
1919,35
11,35
10,35
75,35
62,35
161,35
2739,35
215,35
116,35
2188,35
223,35
171,848
848,848
1383,64
64,64
4139,179
179,179
1915,67
3314,67
3618,67
67,67
3352,67
4164,252
252,252
1992,176
176,176
438,256
256,256
857,254
254,254
29,2201
2201,2201
127,3216
3216,3216
3258,4061
232,4061
180,4061
17,4061
4061,4061
4064,4061
131,3360
20,3360
174,3360
61,3360
3360,3360
1491,182
182,182
213,182
629,184
184,184
93,3085
3085,3085
273,2365
2,2365
2365,2365
262,2365
110,2365
154,2365
218,1806
1806,1806
98,1350
1350,1350
96,3874
3874,3874
21,506
506,506
298,169
3200,169
169,169
818,8
8,8
173,164
3882,164
164,164
1839,226
1876,226
1777,226
1558,226
226,226
148,166
166,166
197,167
3801,167
1304,167
1372,167
2480,167
382,167
167,167
3985,167
1772,167
54,167
2182,167
1236,188
188,188
1079,162
162,162
1751,220
220,220
245,3448
3448,3448
3904,3378
250,3378
1812,3378
214,3378
3378,3378
186,866
866,866
3922,723
196,723
529,723
3113,723
580,723
3970,723
1762,723
1411,723
2775,723
1390,723
3375,723
723,723
605,723
140,1924
1924,1924
2776,153
153,153
4067,156
156,156
1529,158
158,158
3228,112
112,112
122,1810
1810,1810
2666,49
49,49
3818,44
44,44
1344,42
42,42
1087,43
1085,43
194,43
3020,43
43,43
2861,43
1277,43
1192,43
3417,43
138,43
3794,43
1955,43
1712,43
1131,43
519,43
2371,43
459,43
353,43
3059,43
1574,43
1466,43
2969,43
1829,43
2667,43
369,43
1749,43
2298,43
507,43
2427,43
160,43
2637,43
359,43
986,43
3032,43
2928,43
1597,43
2958,43
1293,43
1,1
1126,1
187,3186
3186,3186
283,1443
1443,1443
522,9
1217,9
2030,9
9,9
32,2727
2727,2727
258,2649
2649,2649
4184,203
203,203
3876,207
207,207
190,3625
3625,3625
2919,77
1622,77
1479,77
1965,77
77,77
2333,77
3543,77
2227,76
76,76
2557,76
233,79
4040,79
185,79
79,79
168,79
217,79
40,79
72,78
78,78
3711,120
120,120
165,4154
4154,4154
231,2080
2080,2080
1496,260
260,260
1337,126
126,126
